,Italy,"Korea, South",US,China
3/19/20,658.6677367576244,165.98837209302326,41.73345476624166,57.96857142857143
3/20/20,754.7512038523275,167.67441860465115,58.50941105039466,58.035714285714285
3/21/20,860.0,170.52325581395348,77.71706132361871,58.075
3/22/20,949.2455858747994,173.6627906976744,101.0200364298725,58.167857142857144
3/23/20,1026.115569823435,173.6627906976744,133.0995749848209,58.212857142857146
3/24/20,1110.3691813804173,175.13565891472868,163.13296903460838,58.27928571428571
3/25/20,1193.996789727127,177.0736434108527,199.6903460837887,58.32928571428572
3/26/20,1293.5634028892457,179.0891472868217,254.51123254401944,58.41571428571429
3/27/20,1388.410914927769,180.85271317829458,308.6126290224651,58.49785714285714
3/28/20,1484.3017656500804,183.68217054263565,368.74620522161507,58.57071428571429
3/29/20,1568.0417335473517,185.7170542635659,427.7747419550698,58.65857142857143
3/30/20,1633.0497592295346,187.22868217054264,491.2902246508804,58.712857142857146
3/31/20,1698.1059390048156,189.65116279069767,571.2568306010929,58.770714285714284
4/1/20,1774.8635634028894,191.60852713178295,647.3649058894961,58.82928571428572
4/2/20,1849.7913322632426,193.33333333333331,739.5931997571342,58.88
4/3/20,1923.38683788122,195.0,835.9653916211294,58.93642857142857
4/4/20,2000.513643659711,196.82170542635657,937.0066788099575,58.95928571428571
4/5/20,2069.7913322632426,198.39147286821705,1022.4711596842745,59.00142857142857
4/6/20,2127.5601926163727,199.30232558139534,1112.0734669095325,59.04642857142857
4/7/20,2176.3402889245585,200.21317829457365,1205.588949605343,59.08428571428571
4/8/20,2237.913322632424,201.24031007751938,1301.3175470552521,59.14928571428572
4/9/20,2305.3932584269664,201.99612403100775,1404.9180327868853,59.20214285714286
4/10/20,2368.812199036918,202.51937984496124,1507.3922282938677,59.24357142857143
4/11/20,2444.157303370787,203.10077519379846,1598.0449301760777,59.29571428571428
4/12/20,2509.8394863563403,203.72093023255815,1685.8318154219794,59.38142857142857
